選手番号,個人情報url,選手名,選手名読み,所属球団,背番号,ポジション,出身地,生年月日,身長,体重,血液型,投打,ドラフト年,ドラフト順位,経歴,出身高校,所属チーム,birthday,主な獲得タイトル
2103612,https://baseball.yahoo.co.jp/npb/player/2103612/top,黒田 将矢,クロダ マサヤ,埼玉西武ライオンズ,57,投手,青森,2004年1月24日,188cm,84kg,B,右投げ右打ち,2021年,5位,八戸工大一高－西武,八戸工大一高,西武,2004-1-24,
1300061,https://baseball.yahoo.co.jp/npb/player/1300061/top,中村 祐太,ナカムラ ユウタ,埼玉西武ライオンズ,58,投手,東京,1995年8月31日,184cm,90kg,A,右投げ右打ち,2013年,5位,関東第一高（甲）－広島－西武,関東第一高,西武,1995-8-31,
1700124,https://baseball.yahoo.co.jp/npb/player/1700124/top,平良 海馬,タイラ カイマ,埼玉西武ライオンズ,61,投手,沖縄,1999年11月15日,173cm,93kg,O,右投げ左打ち,2017年,4位,八重山商工高－西武,八重山商工高,西武,1999-11-15,（中）22（新）20
2000078,https://baseball.yahoo.co.jp/npb/player/2000078/top,水上 由伸,ミズカミ ヨシノブ,埼玉西武ライオンズ,69,投手,長野,1998年7月13日,176cm,79kg,O,右投げ右打ち,2020年,（育）5位,帝京三高－四国学院大－西武,帝京三高,西武,1998-7-13,（中）22（新）22
2000077,https://baseball.yahoo.co.jp/npb/player/2000077/top,豆田 泰志,マメダ タイシ,埼玉西武ライオンズ,70,投手,埼玉,2003年1月15日,173cm,88kg,B,右投げ右打ち,2020年,（育）4位,浦和実高－西武,浦和実高,西武,2003-1-15,
2103657,https://baseball.yahoo.co.jp/npb/player/2103657/top,菅井 信也,スガイ シンヤ,埼玉西武ライオンズ,71,投手,山形,2003年6月28日,183cm,80kg,A,左投げ左打ち,2021年,（育）3位,山本学園高－西武,山本学園高,西武,2003-6-28,
1900062,https://baseball.yahoo.co.jp/npb/player/1900062/top,浜屋 将太,ハマヤ ショウタ,埼玉西武ライオンズ,111,投手,鹿児島,1999年1月26日,176cm,77kg,O,左投げ左打ち,2019年,2位,樟南高（甲）－三菱日立パワーシステムズ－西武,樟南高,西武,1999-1-26,
2000071,https://baseball.yahoo.co.jp/npb/player/2000071/top,大曲 錬,オオマガリ レン,埼玉西武ライオンズ,112,投手,福岡,1998年5月21日,180cm,81kg,A,右投げ右打ち,2020年,5位,西日本短大付高－福岡大－西武,西日本短大付高,西武,1998-5-21,
1900067,https://baseball.yahoo.co.jp/npb/player/1900067/top,上間 永遠,ウエマ トワ,埼玉西武ライオンズ,114,投手,沖縄,2001年1月31日,180cm,82kg,B,右投げ右打ち,2019年,7位,柳ケ浦高－四国ILplus・徳島－西武,柳ケ浦高,西武,2001-1-31,
2000068,https://baseball.yahoo.co.jp/npb/player/2000068/top,佐々木 健,ササキ タケル,埼玉西武ライオンズ,115,投手,青森,1996年5月13日,179cm,87kg,B,左投げ左打ち,2020年,2位,木造高－富士大－NTT東日本－西武,木造高,西武,1996-5-13,
2112675,https://baseball.yahoo.co.jp/npb/player/2112675/top,ロペス,ロペス,埼玉西武ライオンズ,116,投手,ドミニカ共和国,1999年9月2日,193cm,102kg,不明,右投げ右打ち,--,--,エスクエラ・ブエナス・ヌエバス高－フィリーズ傘下－米独立チャールストン－米独立レキシントン－西武,エスクエラ・ブエナス・ヌエバス高,西武,1999-9-2,
2109986,https://baseball.yahoo.co.jp/npb/player/2109986/top,宮澤 太成,ミヤザワ タイセイ,埼玉西武ライオンズ,117,投手,長野,1999年4月15日,185cm,95kg,A,右投げ右打ち,2023年,5位,長野・長野高－北海道大－四国ILplus・徳島－西武,長野・長野高,西武,1999-4-15,
1900066,https://baseball.yahoo.co.jp/npb/player/1900066/top,井上 広輝,イノウエ ヒロキ,埼玉西武ライオンズ,120,投手,神奈川,2001年7月17日,181cm,84kg,AB,右投げ右打ち,2019年,6位,日大三高（甲）－西武,日大三高,西武,2001-7-17,
2107876,https://baseball.yahoo.co.jp/npb/player/2107876/top,三浦 大輝,ミウラ ダイキ,埼玉西武ライオンズ,121,投手,愛知,2000年4月7日,180cm,88kg,A,右投げ左打ち,2022年,（育）3位,時習館高－中京大－西武,時習館高,西武,2000-4-7,
2114252,https://baseball.yahoo.co.jp/npb/player/2114252/top,冨士 大和,フジ ヤマト,埼玉西武ライオンズ,123,投手,埼玉,2006年8月26日,186cm,80kg,O,左投げ左打ち,2024年,（育）1位,大宮東高－西武,大宮東高,西武,2006-8-26,
2112181,https://baseball.yahoo.co.jp/npb/player/2112181/top,シンクレア,シンクレア,埼玉西武ライオンズ,125,投手,カナダ,2001年6月12日,193cm,94kg,不明,左投げ左打ち,2023年,（育）1位,ジョンオリバー高－コチス短大－メアリー大－四国ILplus・徳島－西武,ジョンオリバー高,西武,2001-6-12,
1800085,https://baseball.yahoo.co.jp/npb/player/1800085/top,森脇 亮介,モリワキ リョウスケ,埼玉西武ライオンズ,127,投手,京都,1992年7月13日,175cm,70kg,A,右投げ右打ち,2018年,6位,塔南高－日本大－セガサミー－西武,塔南高,西武,1992-7-13,
2112124,https://baseball.yahoo.co.jp/npb/player/2112124/top,川下 将勲,カワシモ マサヒロ,埼玉西武ライオンズ,129,投手,北海道,2005年4月3日,186cm,72kg,A,左投げ左打ち,2023年,（育）3位,函館大有斗高－西武,函館大有斗高,西武,2005-4-3,
2112154,https://baseball.yahoo.co.jp/npb/player/2112154/top,木瀬 翔太,キセ ショウタ,埼玉西武ライオンズ,131,投手,京都,2005年4月5日,185cm,83kg,O,右投げ右打ち,2023年,（育）5位,北嵯峨高－西武,北嵯峨高,西武,2005-4-5,
2110118,https://baseball.yahoo.co.jp/npb/player/2110118/top,佐藤 爽,サトウ ソウ,埼玉西武ライオンズ,133,投手,北海道,2003年2月9日,177cm,79kg,B,左投げ左打ち,2024年,（育）4位,札幌山の手高－星槎道都大－西武,札幌山の手高,西武,2003-2-9,
1600151,https://baseball.yahoo.co.jp/npb/player/1600151/top,黒木 優太,クロキ ユウタ,埼玉西武ライオンズ,136,投手,神奈川,1994年8月16日,180cm,87kg,A,右投げ左打ち,2016年,2位,橘学苑高－立正大－オリックス－日本ハム－西武,橘学苑高,西武,1994-8-16,
1750472,https://baseball.yahoo.co.jp/npb/player/1750472/top,古賀 悠斗,コガ ユウト,埼玉西武ライオンズ,22,捕手,福岡,1999年9月10日,174cm,86kg,A,右投げ右打ち,2021年,3位,福岡大大濠高（甲）－中央大－西武,福岡大大濠高,西武,1999-9-10,
600026,https://baseball.yahoo.co.jp/npb/player/600026/top,炭谷 銀仁朗,スミタニ ギンジロウ,埼玉西武ライオンズ,27,捕手,京都,1987年7月19日,181cm,98kg,O,右投げ右打ち,2005年,（高）1巡目,平安高－西武－巨人－楽天－西武,平安高,西武,1987-7-19,（ベ）15（ゴ）12、15
1900065,https://baseball.yahoo.co.jp/npb/player/1900065/top,柘植 世那,ツゲ セナ,埼玉西武ライオンズ,37,捕手,群馬,1997年6月3日,174cm,88kg,O,右投げ右打ち,2019年,5位,健大高崎高（甲）－Honda鈴鹿－西武,健大高崎高,西武,1997-6-3,
1800084,https://baseball.yahoo.co.jp/npb/player/1800084/top,牧野 翔矢,マキノ ショウヤ,埼玉西武ライオンズ,53,捕手,石川,2001年3月4日,178cm,80kg,B,右投げ左打ち,2018年,5位,遊学館高－西武,遊学館高,西武,2001-3-4,
2117698,https://baseball.yahoo.co.jp/npb/player/2117698/top,龍山 暖,タツヤマ ハルキ,埼玉西武ライオンズ,64,捕手,沖縄,2006年5月13日,175cm,78kg,A,右投げ右打ち,2024年,6位,エナジックスポーツ高－西武,エナジックスポーツ高,西武,2006-5-13,
2103949,https://baseball.yahoo.co.jp/npb/player/2103949/top,古市 尊,フルイチ タケル,埼玉西武ライオンズ,65,捕手,香川,2002年6月15日,176cm,73kg,O,右投げ右打ち,2021年,（育）1位,高松南高－四国ILplus・徳島－西武,高松南高,西武,2002-6-15,
2105684,https://baseball.yahoo.co.jp/npb/player/2105684/top,児玉 亮涼,コダマ リョウスケ,埼玉西武ライオンズ,0,内野手,熊本,1998年7月10日,166cm,65kg,A,右投げ右打ち,2022年,6位,文徳高－九州産業大－大阪ガス－西武,文徳高,西武,1998-7-10,
2117700,https://baseball.yahoo.co.jp/npb/player/2117700/top,齋藤 大翔,サイトウ ヒロト,埼玉西武ライオンズ,2,内野手,石川,2007年1月27日,181cm,76kg,A,右投げ右打ち,2024年,1位,石川・金沢高－西武,石川・金沢高,西武,2007-1-27,
1800082,https://baseball.yahoo.co.jp/npb/player/1800082/top,山野辺 翔,ヤマノベ カケル,埼玉西武ライオンズ,4,内野手,東京,1994年5月24日,170cm,74kg,AB,右投げ右打ち,2018年,3位,桐蔭学園高－桜美林大－三菱自動車岡崎－西武,桐蔭学園高,西武,1994-5-24,
1400184,https://baseball.yahoo.co.jp/npb/player/1400184/top,外崎 修汰,トノサキ シュウタ,埼玉西武ライオンズ,5,内野手,青森,1992年12月20日,177cm,82kg,O,右投げ右打ち,2014年,3位,弘前実高－富士大－西武,弘前実高,西武,1992-12-20,（ゴ）20、22
1600129,https://baseball.yahoo.co.jp/npb/player/1600129/top,源田 壮亮,ゲンダ ソウスケ,埼玉西武ライオンズ,6,内野手,大分,1993年2月16日,179cm,75kg,O,右投げ左打ち,2016年,3位,大分商高－愛知学院大－トヨタ自動車－西武,大分商高,西武,1993-2-16,（盗）21（新）17（ベ）18～21（ゴ）18～24
1800086,https://baseball.yahoo.co.jp/npb/player/1800086/top,佐藤 龍世,サトウ リュウセイ,埼玉西武ライオンズ,10,内野手,北海道,1997年1月15日,174cm,85kg,AB,右投げ右打ち,2018年,7位,北海高－富士大－西武－日本ハム－西武,北海高,西武,1997-1-15,
2000027,https://baseball.yahoo.co.jp/npb/player/2000027/top,元山 飛優,モトヤマ ヒユウ,埼玉西武ライオンズ,30,内野手,大阪,1998年12月4日,180cm,79kg,AB,右投げ左打ち,2020年,4位,佐久長聖高（甲）－東北福祉大－ヤクルト－西武,佐久長聖高,西武,1998-12-4,
2000069,https://baseball.yahoo.co.jp/npb/player/2000069/top,山村 崇嘉,ヤマムラ タカヨシ,埼玉西武ライオンズ,32,内野手,東京,2002年9月28日,183cm,86kg,O,右投げ左打ち,2020年,3位,東海大相模高（甲）－西武,東海大相模高,西武,2002-9-28,
1500117,https://baseball.yahoo.co.jp/npb/player/1500117/top,平沢 大河,ヒラサワ タイガ,埼玉西武ライオンズ,39,内野手,宮城,1997年12月24日,176cm,80kg,A,右投げ左打ち,2015年,1位,仙台育英高（甲）－ロッテ－西武,仙台育英高,西武,1997-12-24,
2108913,https://baseball.yahoo.co.jp/npb/player/2108913/top,セデーニョ,セデーニョ,埼玉西武ライオンズ,40,内野手,ベネズエラ,1998年8月22日,194cm,118kg,不明,右投げ右打ち,--,--,リセオ・ヴィルヘン・デル・ロサリオ高－3Aリノ－オリックス－西武,リセオ・ヴィルヘン・デル・ロサリオ高,西武,1998-8-22,
1700103,https://baseball.yahoo.co.jp/npb/player/1700103/top,髙松 渡,タカマツ ワタル,埼玉西武ライオンズ,50,内野手,兵庫,1999年7月2日,177cm,75kg,A,右投げ左打ち,2017年,3位,滝川二高－中日－西武,滝川二高,西武,1999-7-2,
2117860,https://baseball.yahoo.co.jp/npb/player/2117860/top,古賀 輝希,コガ テルキ,埼玉西武ライオンズ,59,内野手,佐賀,2000年8月25日,181cm,88kg,O,右投げ左打ち,2024年,7位,佐賀商高（甲）－日本経済大－千曲川硬式野球クラブ－西武,佐賀商高,西武,2000-8-25,
12101,https://baseball.yahoo.co.jp/npb/player/12101/top,中村 剛也,ナカムラ タケヤ,埼玉西武ライオンズ,60,内野手,大阪,1983年8月15日,175cm,102kg,O,右投げ右打ち,2001年,2巡目,大阪桐蔭高－西武,大阪桐蔭高,西武,1983-8-15,（本）08、09、11、12、14、15（点）09、11、15、19（ベ）08、09、11、12、14、15、19
2103618,https://baseball.yahoo.co.jp/npb/player/2103618/top,滝澤 夏央,タキザワ ナツオ,埼玉西武ライオンズ,62,内野手,新潟,2003年8月13日,164cm,65kg,A,右投げ左打ち,2021年,（育）2位,関根学園高－西武,関根学園高,西武,2003-8-13,
2000067,https://baseball.yahoo.co.jp/npb/player/2000067/top,渡部 健人,ワタナベ ケント,埼玉西武ライオンズ,66,内野手,神奈川,1998年12月26日,176cm,115kg,O,右投げ右打ち,2020年,1位,横浜商大高中退－東京・日本ウェルネス高－桐蔭横浜大－西武,横浜商大高中退,西武,1998-12-26,
1800108,https://baseball.yahoo.co.jp/npb/player/1800108/top,野村 大樹,ノムラ ダイジュ,埼玉西武ライオンズ,67,内野手,兵庫,2000年9月10日,171cm,85kg,O,右投げ右打ち,2018年,3位,早稲田実高（甲）－ソフトバンク－西武,早稲田実高,西武,2000-9-10,
2112133,https://baseball.yahoo.co.jp/npb/player/2112133/top,村田 怜音,ムラタ レオン,埼玉西武ライオンズ,99,内野手,三重,2001年8月4日,196cm,110kg,A,右投げ右打ち,2023年,6位,相可高－皇学館大－西武,相可高,西武,2001-8-4,
12102,https://baseball.yahoo.co.jp/npb/player/12102/top,栗山 巧,クリヤマ タクミ,埼玉西武ライオンズ,1,外野手,兵庫,1983年9月3日,177cm,85kg,O,右投げ左打ち,2001年,4巡目,育英高（甲）－西武,育英高,西武,1983-9-3,（安）08（ベ）08、10、11、20（ゴ）10
1950417,https://baseball.yahoo.co.jp/npb/player/1950417/top,渡部 聖弥,ワタナベ セイヤ,埼玉西武ライオンズ,8,外野手,広島,2002年8月31日,177cm,88kg,O,右投げ右打ち,2024年,2位,広陵高（甲）－大阪商業大－西武,広陵高,西武,2002-8-31,
1850820,https://baseball.yahoo.co.jp/npb/player/1850820/top,蛭間 拓哉,ヒルマ タクヤ,埼玉西武ライオンズ,9,外野手,群馬,2000年9月8日,177cm,87kg,O,左投げ左打ち,2022年,1位,浦和学院高（甲）－早稲田大－西武,浦和学院高,西武,2000-9-8,
2101047,https://baseball.yahoo.co.jp/npb/player/2101047/top,ネビン,ネビン,埼玉西武ライオンズ,26,外野手,アメリカ,1997年5月29日,193cm,102kg,不明,右投げ右打ち,--,--,パウウェイ高－オリオールズ－タイガース－アスレチックス－西武,パウウェイ高,西武,1997-5-29,
1500112,https://baseball.yahoo.co.jp/npb/player/1500112/top,平沼 翔太,ヒラヌマ ショウタ,埼玉西武ライオンズ,31,外野手,福井,1997年8月16日,179cm,80kg,A,右投げ左打ち,2015年,4位,敦賀気比高（甲）－日本ハム－西武,敦賀気比高,西武,1997-8-16,
2107854,https://baseball.yahoo.co.jp/npb/player/2107854/top,古川 雄大,フルカワ ユウダイ,埼玉西武ライオンズ,33,外野手,大分,2004年5月25日,186cm,90kg,O,右投げ右打ち,2022年,2位,佐伯鶴城高－西武,佐伯鶴城高,西武,2004-5-25,
1600070,https://baseball.yahoo.co.jp/npb/player/1600070/top,松原 聖弥,マツバラ セイヤ,埼玉西武ライオンズ,35,外野手,大阪,1995年1月26日,173cm,74kg,O,右投げ左打ち,2016年,（育）5位,仙台育英高－明星大－巨人－西武,仙台育英高,西武,1995-1-26,
2117398,https://baseball.yahoo.co.jp/npb/player/2117398/top,林 冠臣,リン クァンチェン,埼玉西武ライオンズ,44,外野手,台湾,2002年12月30日,195cm,105kg,AB,右投げ右打ち,2024年,4位,日南学園高－日本経済大－西武,日南学園高,西武,2002-12-30,
1700122,https://baseball.yahoo.co.jp/npb/player/1700122/top,西川 愛也,ニシカワ マナヤ,埼玉西武ライオンズ,51,外野手,大阪,1999年6月10日,181cm,87kg,A,右投げ左打ち,2017年,2位,花咲徳栄高（甲）－西武,花咲徳栄高,西武,1999-6-10,
2000075,https://baseball.yahoo.co.jp/npb/player/2000075/top,長谷川 信哉,ハセガワ シンヤ,埼玉西武ライオンズ,63,外野手,京都,2002年5月17日,183cm,85kg,B,右投げ右打ち,2020年,（育）2位,敦賀気比高（甲）－西武,敦賀気比高,西武,2002-5-17,
1900068,https://baseball.yahoo.co.jp/npb/player/1900068/top,岸 潤一郎,キシ ジュンイチロウ,埼玉西武ライオンズ,68,外野手,兵庫,1996年12月8日,174cm,85kg,A,右投げ右打ち,2019年,8位,明徳義塾高（甲）－拓殖大中退－四国ILplus・徳島－西武,明徳義塾高,西武,1996-12-8,
2107187,https://baseball.yahoo.co.jp/npb/player/2107187/top,奥村 光一,オクムラ コウイチ,埼玉西武ライオンズ,75,外野手,静岡,1999年12月24日,178cm,83kg,A,右投げ右打ち,2023年,（育）6位,東海大静岡翔洋高－東海大－BCリーグ・群馬－西武,東海大静岡翔洋高,西武,1999-12-24,
2104975,https://baseball.yahoo.co.jp/npb/player/2104975/top,野田 海人,ノダ カイト,埼玉西武ライオンズ,113,捕手,福岡,2005年3月18日,174cm,80kg,A,右投げ右打ち,2022年,3位,九州国際大付高（甲）－西武,九州国際大付高,西武,2005-3-18,
2107608,https://baseball.yahoo.co.jp/npb/player/2107608/top,是澤 涼輔,コレサワ リョウスケ,埼玉西武ライオンズ,122,捕手,三重,2000年4月19日,177cm,78kg,AB,右投げ右打ち,2022年,（育）4位,健大高崎高－法政大－西武,健大高崎高,西武,2000-4-19,
2103624,https://baseball.yahoo.co.jp/npb/player/2103624/top,野村 和輝,ノムラ カズキ,埼玉西武ライオンズ,118,内野手,大阪,2003年6月7日,183cm,95kg,A,右投げ右打ち,2022年,（育）1位,東大阪大柏原高－NOリーグ・石川－西武,東大阪大柏原高,西武,2003-6-7,
2107714,https://baseball.yahoo.co.jp/npb/player/2107714/top,谷口 朝陽,タニグチ アサヒ,埼玉西武ライオンズ,126,内野手,徳島,2004年4月3日,185cm,85kg,O,右投げ右打ち,2023年,（育）2位,広陵高－四国ILplus・徳島－西武,広陵高,西武,2004-4-3,
2117835,https://baseball.yahoo.co.jp/npb/player/2117835/top,佐藤 太陽,サトウ タイヨウ,埼玉西武ライオンズ,128,内野手,静岡,2002年5月19日,176cm,78kg,O,右投げ左打ち,2024年,（育）2位,浜松商高－神奈川大－西武,浜松商高,西武,2002-5-19,
2103645,https://baseball.yahoo.co.jp/npb/player/2103645/top,金子 功児,カネコ コウジ,埼玉西武ライオンズ,130,内野手,神奈川,2003年9月2日,176cm,79kg,A,右投げ左打ち,2023年,（育）4位,光明相模原高－BCリーグ・埼玉－西武,光明相模原高,西武,2003-9-2,
1900064,https://baseball.yahoo.co.jp/npb/player/1900064/top,川野 涼多,カワノ リョウタ,埼玉西武ライオンズ,134,内野手,熊本,2001年6月28日,178cm,80kg,AB,右投げ右打ち,2019年,4位,九州学院高－西武,九州学院高,西武,2001-6-28,
2113322,https://baseball.yahoo.co.jp/npb/player/2113322/top,福尾 遥真,フクオ ハルマ,埼玉西武ライオンズ,138,内野手,千葉,2006年4月6日,181cm,77kg,O,右投げ左打ち,2024年,（育）6位,学法石川高（甲）－西武,学法石川高,西武,2006-4-6,
1750481,https://baseball.yahoo.co.jp/npb/player/1750481/top,仲田 慶介,ナカタ ケイスケ,埼玉西武ライオンズ,140,内野手,福岡,1999年7月25日,175cm,74kg,A,右投げ両打ち,2021年,（育）14位,福岡大大濠高（甲）－福岡大－ソフトバンク－西武,福岡大大濠高,西武,1999-7-25,
2107178,https://baseball.yahoo.co.jp/npb/player/2107178/top,モンテル,モンテル,埼玉西武ライオンズ,119,外野手,沖縄,2000年3月18日,186cm,88kg,B,右投げ右打ち,2022年,（育）2位,金光大阪高－OBC高島－琉球ブルーオーシャンズ－四国ILplus・徳島－西武,金光大阪高,西武,2000-3-18,
2112676,https://baseball.yahoo.co.jp/npb/player/2112676/top,ガルシア,ガルシア,埼玉西武ライオンズ,124,外野手,ドミニカ共和国,2000年9月5日,198cm,115kg,不明,右投げ両打ち,--,--,セナペック高－ヤンキース傘下－西武,セナペック高,西武,2000-9-5,
2108385,https://baseball.yahoo.co.jp/npb/player/2108385/top,ラマル ギービン ラタナヤケ,ラマル ギービン ラタナヤケ,埼玉西武ライオンズ,132,外野手,愛知,2006年4月8日,180cm,91kg,A,右投げ右打ち,2024年,（育）3位,大阪桐蔭高（甲）－西武,大阪桐蔭高,西武,2006-4-8,
2000073,https://baseball.yahoo.co.jp/npb/player/2000073/top,仲三河 優太,ナカミガワ ユウタ,埼玉西武ライオンズ,135,外野手,栃木,2002年10月22日,180cm,90kg,A,右投げ左打ち,2020年,7位,大阪桐蔭高（甲）－西武,大阪桐蔭高,西武,2002-10-22,
2113521,https://baseball.yahoo.co.jp/npb/player/2113521/top,澤田 遥斗,サワダ ハルト,埼玉西武ライオンズ,137,外野手,北海道,2006年7月30日,170cm,68kg,A,右投げ両打ち,2024年,（育）5位,京都国際高（甲）－西武,京都国際高,西武,2006-7-30,
2117770,https://baseball.yahoo.co.jp/npb/player/2117770/top,ウメビンユオ オケム明,ウメビンユオ オケムメイ,埼玉西武ライオンズ,139,外野手,長野,2006年4月10日,184cm,77kg,B,右投げ右打ち,2024年,（育）7位,旭川志峯高－西武,旭川志峯高,西武,2006-4-10,
2106284,https://baseball.yahoo.co.jp/npb/player/2106284/top,矢澤 宏太,ヤザワ コウタ,北海道日本ハムファイターズ,12,投手,東京,2000年8月2日,173cm,71kg,A,左投げ左打ち,2022年,1位,藤嶺藤沢高－日本体育大－日本ハム,藤嶺藤沢高,日本ハム,2000-8-2,
1800092,https://baseball.yahoo.co.jp/npb/player/1800092/top,生田目 翼,ナバタメ ツバサ,北海道日本ハムファイターズ,13,投手,茨城,1995年2月19日,176cm,88kg,A,右投げ右打ち,2018年,3位,水戸工高－流通経済大－日本通運－日本ハム,水戸工高,日本ハム,1995-2-19,
1500110,https://baseball.yahoo.co.jp/npb/player/1500110/top,加藤 貴之,カトウ タカユキ,北海道日本ハムファイターズ,14,投手,千葉,1992年6月3日,182cm,90kg,AB,左投げ左打ち,2015年,2位,拓大紅陵高－新日鉄住金かずさマジック－日本ハム,拓大紅陵高,日本ハム,1992-6-3,
2050307,https://baseball.yahoo.co.jp/npb/player/2050307/top,達 孝太,タツ コウタ,北海道日本ハムファイターズ,16,投手,大阪,2004年3月27日,194cm,97kg,B,右投げ右打ち,2021年,1位,天理高（甲）－日本ハム,天理高,日本ハム,2004-3-27,
2000079,https://baseball.yahoo.co.jp/npb/player/2000079/top,伊藤 大海,イトウ ヒロミ,北海道日本ハムファイターズ,17,投手,北海道,1997年8月31日,176cm,82kg,O,右投げ左打ち,2020年,1位,駒大苫小牧高（甲）－駒沢大中退－苫小牧駒沢大－日本ハム,駒大苫小牧高,日本ハム,1997-8-31,（率）24（勝）24
1400195,https://baseball.yahoo.co.jp/npb/player/1400195/top,山﨑 福也,ヤマサキ サチヤ,北海道日本ハムファイターズ,18,投手,埼玉,1992年9月9日,188cm,95kg,B,左投げ左打ち,2014年,1位,日大三高（甲）－明治大－オリックス－日本ハム,日大三高,日本ハム,1992-9-9,
1600139,https://baseball.yahoo.co.jp/npb/player/1600139/top,玉井 大翔,タマイ タイショウ,北海道日本ハムファイターズ,19,投手,北海道,1992年6月16日,178cm,78kg,A,右投げ右打ち,2016年,8位,旭川実高（甲）－東京農業大北海道オホーツク－新日鉄住金かずさマジック－日本ハム,旭川実高,日本ハム,1992-6-16,
1500109,https://baseball.yahoo.co.jp/npb/player/1500109/top,上原 健太,ウエハラ ケンタ,北海道日本ハムファイターズ,20,投手,沖縄,1994年3月29日,191cm,95kg,A,左投げ左打ち,2015年,1位,広陵高（甲）－明治大－日本ハム,広陵高,日本ハム,1994-3-29,
1300094,https://baseball.yahoo.co.jp/npb/player/1300094/top,杉浦 稔大,スギウラ トシヒロ,北海道日本ハムファイターズ,22,投手,北海道,1992年2月25日,190cm,91kg,A,右投げ右打ち,2013年,1位,帯広大谷高－国学院大－ヤクルト－日本ハム,帯広大谷高,日本ハム,1992-2-25,
2107859,https://baseball.yahoo.co.jp/npb/player/2107859/top,金村 尚真,カネムラ ショウマ,北海道日本ハムファイターズ,24,投手,沖縄,2000年8月29日,176cm,85kg,O,右投げ右打ち,2022年,2位,岡山学芸館高－富士大－日本ハム,岡山学芸館高,日本ハム,2000-8-29,
800052,https://baseball.yahoo.co.jp/npb/player/800052/top,宮西 尚生,ミヤニシ ナオキ,北海道日本ハムファイターズ,25,投手,兵庫,1985年6月2日,180cm,80kg,O,左投げ左打ち,2007年,3巡目,市尼崎高－関西学院大－日本ハム,市尼崎高,日本ハム,1985-6-2,（中）16、18、19
1600164,https://baseball.yahoo.co.jp/npb/player/1600164/top,田中 正義,タナカ セイギ,北海道日本ハムファイターズ,26,投手,神奈川,1994年7月19日,188cm,93kg,A,右投げ右打ち,2016年,1位,創価高－創価大－ソフトバンク－日本ハム,創価高,日本ハム,1994-7-19,
1900070,https://baseball.yahoo.co.jp/npb/player/1900070/top,河野 竜生,カワノ リュウセイ,北海道日本ハムファイターズ,28,投手,徳島,1998年5月30日,175cm,84kg,O,左投げ左打ち,2019年,1位,鳴門高（甲）－JFE西日本－日本ハム,鳴門高,日本ハム,1998-5-30,（中）24
2111822,https://baseball.yahoo.co.jp/npb/player/2111822/top,細野 晴希,ホソノ ハルキ,北海道日本ハムファイターズ,29,投手,東京,2002年2月26日,180cm,86kg,B,左投げ左打ち,2023年,1位,東亜学園高－東洋大－日本ハム,東亜学園高,日本ハム,2002-2-26,
2117696,https://baseball.yahoo.co.jp/npb/player/2117696/top,柴田 獅子,シバタ レオ,北海道日本ハムファイターズ,31,投手,福岡,2006年4月18日,187cm,87kg,不明,右投げ左打ち,2024年,1位,福岡大大濠高－日本ハム,福岡大大濠高,日本ハム,2006-4-18,
2116125,https://baseball.yahoo.co.jp/npb/player/2116125/top,藤田 琉生,フジタ リュウセイ,北海道日本ハムファイターズ,32,投手,神奈川,2006年11月17日,198cm,96kg,A,左投げ左打ち,2024年,2位,東海大相模高（甲）－日本ハム,東海大相模高,日本ハム,2006-11-17,
1600133,https://baseball.yahoo.co.jp/npb/player/1600133/top,堀 瑞輝,ホリ ミズキ,北海道日本ハムファイターズ,34,投手,広島,1998年5月10日,177cm,82kg,A,左投げ左打ち,2016年,1位,広島新庄高（甲）－日本ハム,広島新庄高,日本ハム,1998-5-10,（中）21
2108574,https://baseball.yahoo.co.jp/npb/player/2108574/top,浅利 太門,アサリ タモン,北海道日本ハムファイターズ,35,投手,大阪,2002年9月6日,186cm,88kg,不明,右投げ右打ち,2024年,3位,興国高－明治大－日本ハム,興国高,日本ハム,2002-9-6,
2100554,https://baseball.yahoo.co.jp/npb/player/2100554/top,古林 睿煬,グーリン ルェヤン,北海道日本ハムファイターズ,37,投手,台湾,2000年6月12日,184cm,81kg,不明,右投げ右打ち,--,--,桃園市立平鎮高級中学－台湾・統一－日本ハム,桃園市立平鎮高級中学,日本ハム,2000-6-12,
1800096,https://baseball.yahoo.co.jp/npb/player/1800096/top,福田 俊,フクダ スグル,北海道日本ハムファイターズ,40,投手,北海道,1996年12月14日,171cm,73kg,A,左投げ左打ち,2018年,7位,横浜創学館高－星槎道都大－日本ハム,横浜創学館高,日本ハム,1996-12-14,
1200055,https://baseball.yahoo.co.jp/npb/player/1200055/top,福谷 浩司,フクタニ コウジ,北海道日本ハムファイターズ,41,投手,愛知,1991年1月9日,183cm,93kg,B,右投げ右打ち,2012年,1位,愛知・横須賀高－慶応大－中日－日本ハム,愛知・横須賀高,日本ハム,1991-1-9,
2108188,https://baseball.yahoo.co.jp/npb/player/2108188/top,ザバラ,ザバラ,北海道日本ハムファイターズ,42,投手,ドミニカ共和国,1996年12月21日,190cm,117kg,不明,右投げ右打ち,--,--,ソンリサ・デ・エスペランサ高－マーリンズ－3Aトレド－日本ハム,ソンリサ・デ・エスペランサ高,日本ハム,1996-12-21,
